Id,Universidad,Link,Link Transparencia,Presupuesto,,,,Fuente1,Fuente 2
,,,,Salud,Educación y Cultura,Ciencia y Técnica,Total,,
22,I.U.DE SEGURIDAD MARITIMA,http://www.prefecturanaval.gov.ar/,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
23,I.U.N.DD.HH MADRES DE PLAZA DE MAYO,www.iunma.edu.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
24,I.U.POLICÍA FEDERAL ARGENTINA,www.universidad-policial.edu.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
25,JOSÉ C. PAZ,http://www.unpaz.edu.ar,,0,823694019,726204,824420223,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
26,JUJUY,www.unju.edu.ar,,0,2330044487,7427523,2337472010,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
27,LA MATANZA,www.unlam.edu.ar,,16936967,3116798641,8747309,3142482917,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
28,LA PAMPA,www.unlpam.edu.ar,,0,1985842023,6928562,1992770585,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
29,LA PLATA,www.unlp.edu.ar,,53859767,1.33E+14,46053830,1.34E+14,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
30,LA RIOJA,www.unlar.edu.ar,,97908898,2188482778,6550868,2292942544,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
31,LANÚS,www.unla.edu.ar,,0,1315507193,4421604,1319928797,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
